  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
well;0.704;0.011;0.031;0.005;0.073;0.03;0.001;0.014;0.075;0
Guard;0.412;0.547;0.001;0.003;0;0.001;0.011;0;0.017;0.007
coast;0.254;0.133;0.032;0.043;0.063;0.013;0.168;0.023;0.02;0.185
illegal;0.077;0.092;0.105;0.005;0.417;0.006;0.009;0.055;0.019;0.028
migratory;0.263;0.248;0.088;0.132;0.001;0.006;0.06;0.172;0.005;0.003
period;0.771;0.001;0.006;0.004;0.047;0.003;0.027;0.053;0.039;0.006
I;0.009;0.106;0.197;0;0.248;0.246;0.001;0.029;0.015;0
agency;0.173;0.074;0.008;0.046;0.024;0.328;0.068;0.015;0.04;0.019
national;0.002;0.107;0.055;0.19;0.057;0.256;0.032;0.042;0.035;0.081
place;0.136;0.034;0.17;0.318;0.066;0.002;0.009;0.012;0.012;0.001
route;0.331;0.148;0.11;0.002;0.2;0.086;0.006;0.025;0.016;0.011
same;0.374;0.059;0.011;0.001;0.029;0.008;0.004;0.095;0.146;0.207
provide;0.245;0.025;0.011;0.069;0.073;0.042;0.002;0.025;0.066;0.001
we;0;0.012;0.107;0.023;0.566;0.141;0.066;0.028;0.011;0.021
Central;0.423;0.048;0.042;0.046;0.038;0.001;0;0.08;0.109;0.163
about;0.231;0.025;0.103;0.006;0;0.041;0.164;0.034;0.207;0.001
information;0.317;0.037;0.236;0.294;0.005;0.026;0;0.021;0.002;0.002
land;0.087;0.047;0.085;0.451;0.004;0.116;0.059;0.01;0.025;0.058
months;0.693;0.111;0.01;0.004;0.037;0.039;0.006;0;0.008;0.008
support;0.152;0.28;0.026;0.01;0.07;0.003;0.133;0.166;0.044;0.011
Forum;0.111;0.143;0.062;0.001;0.411;0.129;0.026;0.004;0.091;0
It;0.133;0.165;0.002;0.056;0;0.001;0.098;0.001;0.186;0.003
Joint;0.052;0.025;0.021;0.109;0.122;0.167;0.267;0.065;0.016;0.055
Schengen;0.07;0.04;0.57;0.017;0.032;0;0.033;0.046;0.083;0
crossings;0.36;0.303;0.02;0.003;0.101;0.021;0.005;0.138;0.002;0.006
including;0.171;0.037;0.167;0.067;0.005;0.254;0.178;0.001;0.041;0.023
such;0.173;0.007;0.002;0.109;0.106;0.333;0.012;0.003;0.014;0.048
week;0.701;0.043;0.011;0.018;0.127;0.02;0.002;0.018;0.017;0.004
Coast;0.455;0.499;0.006;0;0.006;0;0.005;0.001;0.01;0.012
Consultative;0.102;0.103;0.074;0.003;0.423;0.136;0.033;0.006;0.089;0.003
our;0.362;0.144;0.077;0.007;0.152;0.08;0.05;0.021;0.04;0.007
area;0.013;0.028;0.026;0.358;0.302;0.005;0.001;0.067;0.001;0.001
month;0.716;0.19;0.005;0;0.018;0.004;0.002;0;0.002;0.015
sea;0;0.068;0.295;0.045;0.028;0.028;0.003;0.084;0.085;0.232
work;0.091;0.251;0.109;0.025;0.02;0.022;0.038;0.129;0.073;0.007
working;0.02;0;0.166;0.027;0.629;0.074;0.047;0.012;0.003;0.009
%;0.225;0.091;0.037;0.274;0.109;0.188;0.005;0.05;0.004;0
can;0.065;0.199;0.033;0.294;0;0.15;0.027;0.015;0.009;0.018
international;0.003;0.033;0.007;0.009;0.52;0.015;0.003;0.185;0.006;0.113
Border;0.013;0.892;0.005;0.01;0.001;0.01;0.004;0.01;0.015;0.01
Union;0.14;0.081;0.263;0.008;0.083;0.044;0.002;0.234;0.002;0.058
control;0.592;0.027;0.044;0.168;0.018;0.017;0.009;0.005;0;0.043
cooperation;0.144;0.223;0.343;0.019;0.098;0.07;0.015;0.025;0.039;0
experts;0.571;0.005;0.013;0.083;0.054;0.003;0.229;0.003;0.006;0
not;0.407;0.019;0.007;0.114;0.152;0.002;0;0.051;0.054;0.028
previous;0.425;0.013;0.012;0;0.003;0.066;0.082;0.225;0.1;0
