"an";-0.06828;0.08687;-0.00311;0.00027;0.02611;0.03322;0.03413;0.06636;0.05149;0.17987;0.0213;0.04368;0.0145;0.02386;0.02431;0.08069;0.05497;0.49386;-0.04585;0.3568
"be";-0.31963;2.92677;-0.01672;0.01186;-0.18832;2.6579;-0.09426;0.77799;0.10585;1.16853;0.00694;0.00713;0.03847;0.25817;0.0292;0.17898;0.02502;0.15727;-0.02342;0.14311
"vessels";0.37787;0.8149;-0.48891;2.02154;0.10825;0.17495;-0.27165;1.28738;-0.11573;0.2783;0.25723;1.95157;-0.0665;0.1537;0.09459;0.37425;0.05028;0.12653;0.08673;0.39108
"authorities";0.06484;0.06963;0.01327;0.00432;-0.05376;0.12522;0.01311;0.0087;-0.08956;0.48369;-0.02016;0.03478;-0.06005;0.36374;-0.01379;0.02308;-0.03541;0.18218;0.08332;1.04743
"operation";3e-04;0;-0.15714;0.45859;0.19543;1.25229;0.03973;0.06047;0.08483;0.32841;0.17838;2.06098;-0.08376;0.53559;-0.09018;0.74702;-0.05423;0.32328;0.01172;0.01569
"has";0.02991;0.01256;-0.0859;0.15356;0.05705;0.11958;0.10898;0.50987;0.0286;0.04182;0.06387;0.29612;0.05043;0.21754;0.02978;0.09128;-0.03157;0.12276;0.00271;0.00094
"rescue";0.44944;0.92681;-0.52582;1.87981;0.17383;0.36268;-0.29385;1.21103;-0.20089;0.67415;0.08562;0.17383;-0.06867;0.13178;0.20324;1.38884;0.11897;0.56953;0.14876;0.92496
"In";0.20264;0.5905;0.11415;0.27766;-0.08484;0.2708;0.11959;0.62864;0.01392;0.01014;0.11483;0.97996;-0.02021;0.03577;0.10939;1.26104;-0.12679;2.02762;-0.03853;0.19444
"Italian";0.07729;0.04245;-0.41419;1.80646;-0.16271;0.49215;0.22103;1.06118;-0.11616;0.34911;0.09781;0.35132;-0.23871;2.46615;0.05753;0.17233;0.1277;1.01635;0.13444;1.17009
"external";0.13943;0.23604;-0.10152;0.18544;0.05719;0.10387;0.06821;0.17271;0.17083;1.29011;-0.02406;0.03632;0.05457;0.22021;-0.02364;0.04971;-0.05726;0.3492;-0.00405;0.00181
